Descriptor,Mean_Abs_SHAP,ET_Importance_Pct
AromRings,0.43123796810797244,100.0
NOR,0.246848167400175,93.57209962134448
WS_mg_mL,0.16013159026055201,37.97010624862022
Chemical_Potential_mu,0.1010452815885118,15.894363853734964
LogS,0.08361697662269227,22.347495576851752
PSA,0.07715244471013472,9.20972469198715
E_HOMO,0.0684314401759934,9.781073100465324
Fraction_Csp3,0.06306620929277937,12.670335683830093
Polarizability_alpha,0.05717681507105987,12.248862501563174
Electronegativity_chi,0.04239379346104548,10.063250550101015
Gap_eV,0.041917009014135385,7.490808274456808
LogP,0.04169046980221778,12.33891484597983
E_ads_kcal_mol,0.03980723320461661,11.62391165100772
HBD,0.03374805385670052,6.9576837207767275
Hardness_eta,0.03254874312559073,3.746699069158322
Softness_S,0.029303439078649483,6.367199560262876
Electrophilicity_omega,0.022440962215126235,6.136668345012703
E_LUMO,0.014535126810692077,7.492745472403038
HBA,0.013875622654764108,4.081019836254275
MW,0.011652974665484792,3.770136241312126
RBC,0.00744077001831756,3.473498715155133
