Descriptor,Mean_Abs_SHAP,ET_Importance_Pct
AromRings,0.4284958544792617,100.0
NOR,0.2592797499205675,99.6996642231349
WS_mg_mL,0.14616829733530598,40.64500521057682
Chemical_Potential_mu,0.09021061608311738,17.282942494901036
PSA,0.08986917083999112,11.491560874484637
Polarizability_alpha,0.08391715676722955,15.967033725606566
Electronegativity_chi,0.08195635682084682,17.601590385473383
LogS,0.07994769271653739,25.061027973247143
E_HOMO,0.07790094658705739,14.023948857752966
Fraction_Csp3,0.06439872101416871,14.168856542259892
HBD,0.03608749475847255,4.558854742951262
Softness_S,0.029380526873536348,6.015831237312011
Gap_eV,0.026104478473858266,5.002234778682753
HBA,0.02457352582544963,7.228716435886387
LogP,0.019856260023410687,7.903870362432521
E_ads_kcal_mol,0.01807193401580054,4.793080521098472
E_LUMO,0.017930552991430072,5.6314555271890905
RBC,0.01729687726961445,7.436568161386951
Hardness_eta,0.016750216591903278,3.50990360155392
Electrophilicity_omega,0.01656784128346579,4.37654867591314
MW,0.010802914937819338,4.430908059332665
