Descriptor,Mean_Abs_SHAP,ET_Importance_Pct
NOR,0.3540645837484547,100.0
AromRings,0.27429087535849156,65.34622225437847
WS_mg_mL,0.15234772535139723,37.35226468775543
Polarizability_alpha,0.0842205071641142,18.72103144038063
Electronegativity_chi,0.0730659011381417,13.761342480249441
Chemical_Potential_mu,0.07113281088487035,10.08019544426239
Fraction_Csp3,0.06417727924715126,13.90345821481865
LogS,0.04617805490463305,20.957778976062553
E_LUMO,0.04589102750968536,10.488649022419219
E_HOMO,0.03978632118922111,8.537516003431305
HBD,0.036372074932973085,6.6715511682224475
PSA,0.0324822814460582,4.717767932130529
Electrophilicity_omega,0.02871257795395697,7.3493976356486135
LogP,0.026921869877828623,6.509371124350278
Softness_S,0.020198064597581118,5.581396486680647
MW,0.01854714506952921,8.074421693174804
Hardness_eta,0.018317947250308865,5.320537690848626
Gap_eV,0.01744157169929342,5.868024367909426
RBC,0.014428397905201127,5.352689351973283
HBA,0.008486577892986796,6.006528686249775
